ID,TITLE,PRICE,IMAGE
1,ASUS Vivobook Touchscreen X1504VA 15.6  Full HD Touchscreen Laptop (Intel i5-1335U- 16GB RAM- 512GB PCIe SSD- Windows 11),499,https://m.media-amazon.com/images/I/51oJbLogKwL._AC_UY218_.jpg
2,Dell Inspiron 15 3520 Laptop | FHD (1920 x 1080) 120Hz Display | Intel Core i5-1235U | Intel UHD Graphics | 8 2666MHz RAM | 512 | English-UK Keyboard | Carbon black,479,https://m.media-amazon.com/images/I/712Vi1114WL._AC_UY218_.jpg
3,ASUS ZenBook Duo UX482EAR 14.0  Dualscreen Full HD Laptop with Touchscreen (Intel i7-1195G7- 16GB RAM- 1TB PCIe SSD- Windows 11- ScreenPad Plus with Stylus Pen) Intel EVO Certified,849,https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png
4,Auusda Laptop 14.1 inch Windows 11 Notebook- Full HD 1920 * 1080 IPS 100% sRGB Display- Intel J4105 Quad-Core- 8GB LPDDR4 and 256GB SSD- USB 3.0- 5GHz WIFI- Expandable Storage,259,https://m.media-amazon.com/images/I/6160YXVPAcL._AC_UY218_.jpg
5,Naclud Laptop 17.3 Inch 8GB RAM 512GB SSD- Laptop Celeron Dual-Core Processor Up to 2.8GHz- 1080P FHD PC Notebook with Dual Band WiFi- 2xUSB 3.0- Keyboard Film in Eight Languages,284,https://m.media-amazon.com/images/I/61sxoxjS0VL._AC_UY218_.jpg
6,MSI Prestige 14 Evo (B13M-244UK)- Latest Intel Core i5-13500H- 14  FHD+ 60Hz Panel- Latest Intel Iris Xe Graphics- 16GB- 512GB SSD- Windows 11 - Urban Silver,499,https://m.media-amazon.com/images/I/81YN98+Ox0L._AC_UY218_.jpg
7,Naclud Laptop 17.3 Inch 8GB RAM 512GB SSD- Laptop Celeron Dual-Core Processor Up to 2.8GHz- 1080P FHD PC Notebook with Dual Band WiFi- 2xUSB 3.0- Keyboard Film in Eight Languages,399,https://m.media-amazon.com/images/I/51oJbLogKwL._AC_UL320_.jpg
8,ACEMAGIC 16 inch FHD Display laptop- Intel Quad-Core 𝗡95 Processor Up to 3.4GHz（Beat N5095） laptop computer- 16GB DDR4 512GB SSD Notebook Computers with Metal Body Support WiFi- BT5.0- 3*USB3.2,249,https://m.media-amazon.com/images/I/71Tt4cAxPFL._AC_UL320_.jpg
9,Lenovo IdeaPad Slim 5 | 14 inch Full HD OLED Laptop | Intel Core i7-13620H | 16GB RAM | 1TB SSD |Windows 11 Home | Cloud Grey,449,https://m.media-amazon.com/images/I/61TLfc8EmNL._AC_UL320_.jpg
10,ASUS TUF Gaming FX707VI 17.3  Full HD 144Hz Gaming Laptop (Intel i7-13620H- NVIDIA GeForce RTX 4070 (140W TGP)- 16GB RAM- 1TB PCIe SSD- Windows 11),284,https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png
11,Lenovo V15 G4 Intel Core i5 16GB RAM 512GB SSD 15.6 Inch FHD Windows 11 Pro Laptop,1349,https://m.media-amazon.com/images/I/714B44T2cOL._AC_UL320_.jpg
12,ASUS Zenbook 14 OLED UX3402VA 14.0  2.8K 90Hz Touchscreen OLED Laptop (Intel i9-13900H- 16GB RAM- 1TB PCIe SSD- Backlit Keyboard- OLED Screen- Windows 11),249,https://m.media-amazon.com/images/I/81YN98+Ox0L._AC_UL320_.jpg
13,jumper 14  Laptop- 12GB LPDDR4 256GB SSD Laptops- Intel J4105 Processor (up to 2.5Ghz) computer- Full HD IPS Screen- Mini HDMI x 1-2xUSB- 2.4/5G WiFi- Bluetooth 4.0- UK Keyboard Film.,199,https://m.media-amazon.com/images/I/519V96hcerL._AC_UL320_.jpg
